src,sport,dst,dport,cwnd,bw,mrtt,pacing_gain,cwnd_gain,time,id
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.050999999999931,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.060999999999922,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.1089999999999236,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.119000000000142,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.129000000000133,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.134999999999991,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.15300000000002,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.1980000000000928,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.2100000000000364,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.2180000000000746,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.2260000000001128,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.2360000000001037,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.25,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.300999999999931,1
10.0.0.5,58419,10.1.0.11,51230,1058,68000000.0,0.080028,1.25,2,2.3150000000000546,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.326000000000022,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.338999999999942,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.352000000000089,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.3990000000001146,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.4090000000001055,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.421000000000049,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.435999999999922,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.4470000000001164,1
10.0.0.5,58419,10.1.0.11,51230,1018,65300000.0,0.080028,1.25,2,2.4570000000001073,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.507000000000062,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.5160000000000764,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.52800000000002,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.5370000000000346,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.5440000000000964,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.5979999999999563,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.6059999999999945,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.617999999999938,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.633000000000038,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.644999999999982,1
10.0.0.5,58419,10.1.0.11,51230,966,65300000.0,0.080028,1.25,2,2.6549999999999727,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.701999999999998,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.7129999999999654,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.7210000000000036,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.731999999999971,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.741999999999962,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.7999999999999545,1
10.0.0.5,58419,10.1.0.11,51230,1016,65300000.0,0.080028,1.25,2,2.8099999999999454,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.81899999999996,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.826999999999998,1
