rate,burst,lat,backlog,limit,delay,ip,time,id
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,75.35900000000015,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,75.37800000000016,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,75.39700000000016,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,75.41200000000003,3
300000000.0,14962.0,401.0,1452.0,1000,0.04,10.0.0.9,75.45100000000002,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,75.47300000000018,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,75.48900000000003,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,75.50600000000009,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,75.5300000000002,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,75.55400000000009,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,75.5780000000002,3
300000000.0,14962.0,401.0,1254.0,1000,0.04,10.0.0.9,75.60900000000015,3
300000000.0,14962.0,401.0,1188.0,1000,0.04,10.0.0.9,75.63300000000004,3
300000000.0,14962.0,401.0,1320.0,1000,0.04,10.0.0.9,75.66399999999999,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,75.68500000000017,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,75.70900000000006,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,75.74099999999999,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,75.75999999999999,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,75.79100000000017,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,75.81100000000015,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,75.83400000000006,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,75.85500000000002,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,75.8760000000002,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,75.90200000000004,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,75.9240000000002,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,75.95000000000005,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,75.97300000000018,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,76.0,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,76.02500000000009,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,76.05100000000016,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,76.07100000000014,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,76.09400000000005,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,76.11800000000017,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,76.14600000000019,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,76.17000000000007,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,76.19400000000019,3
300000000.0,14962.0,401.0,1386.0,1000,0.04,10.0.0.9,76.21000000000004,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,76.22900000000004,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,76.25200000000018,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,76.27500000000009,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,76.29600000000005,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,76.31900000000019,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,76.34400000000005,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,76.36200000000008,3
300000000.0,14962.0,401.0,2838.0,1000,0.04,10.0.0.9,76.4340000000002,3
300000000.0,14962.0,401.0,2376.0,1000,0.04,10.0.0.9,76.45600000000013,3
300000000.0,14962.0,401.0,2442.0,1000,0.04,10.0.0.9,76.47200000000021,3
300000000.0,14962.0,401.0,2706.0,1000,0.04,10.0.0.9,76.48900000000003,3
300000000.0,14962.0,401.0,2442.0,1000,0.04,10.0.0.9,76.50500000000011,3
300000000.0,14962.0,401.0,2574.0,1000,0.04,10.0.0.9,76.52100000000019,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.54200000000014,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.56500000000005,3
300000000.0,14962.0,401.0,2376.0,1000,0.04,10.0.0.9,76.58400000000006,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.59900000000016,3
300000000.0,14962.0,401.0,2904.0,1000,0.04,10.0.0.9,76.63000000000011,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,76.64700000000016,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.66600000000017,3
300000000.0,14962.0,401.0,2442.0,1000,0.04,10.0.0.9,76.68500000000017,3
300000000.0,14962.0,401.0,2706.0,1000,0.04,10.0.0.9,76.69900000000007,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,76.7320000000002,3
300000000.0,14962.0,401.0,1320.0,1000,0.04,10.0.0.9,76.75200000000018,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,76.769,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,76.78500000000008,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,76.80100000000016,3
300000000.0,14962.0,401.0,2574.0,1000,0.04,10.0.0.9,76.83300000000008,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,76.85300000000007,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,76.875,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.89200000000005,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,76.91300000000001,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,76.93600000000015,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,76.96100000000001,3
300000000.0,14962.0,401.0,2442.0,1000,0.04,10.0.0.9,76.98500000000013,3
300000000.0,14962.0,401.0,2640.0,1000,0.04,10.0.0.9,77.00200000000018,3
300000000.0,14962.0,401.0,2706.0,1000,0.04,10.0.0.9,77.0340000000001,3
300000000.0,14962.0,401.0,2442.0,1000,0.04,10.0.0.9,77.05500000000006,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,77.08500000000004,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,77.10000000000014,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,77.11500000000001,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,77.13300000000004,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.15200000000004,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,77.1690000000001,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,77.19700000000012,3
